time,open,high,low,close,volume
2026-06-03T00:00:00+00:00,6100.79,6122.38,5995.61,6012.66,90587
2026-06-06T00:00:00+00:00,6012.66,6085.07,5962.05,6055.12,39397
2026-06-09T00:00:00+00:00,6055.12,6179.07,5970.71,6172.6,234654
2026-06-12T00:00:00+00:00,6172.6,6202.73,6125.22,6183.27,46732
2026-06-15T00:00:00+00:00,6183.27,6307.94,6183.27,6247.48,78937
2026-06-18T00:00:00+00:00,6247.48,6353.43,6247.48,6291.45,67486
2026-06-21T00:00:00+00:00,6291.45,6341.75,6221.52,6240.55,51372
2026-06-24T00:00:00+00:00,6240.55,6298.81,6192.98,6221.03,135610
2026-06-27T00:00:00+00:00,6221.03,6278.38,6213.37,6273.91,22858
2026-06-30T00:00:00+00:00,6273.91,6403.42,6268.92,6367.48,74978
2026-07-03T00:00:00+00:00,6367.48,6429.53,6367.48,6421.03,8332
2026-07-06T00:00:00+00:00,6421.03,6440.58,6187.73,6252.78,56867
2026-07-09T00:00:00+00:00,6252.78,6299.25,6233.23,6282.58,39955
2026-07-12T00:00:00+00:00,6282.58,6305.44,6216.42,6266.47,53088
2026-07-15T00:00:00+00:00,6266.47,6303.09,6199.31,6235.87,85776
2026-07-18T00:00:00+00:00,6235.87,6269.51,6190.51,6196.08,24023
2026-07-21T00:00:00+00:00,6196.08,6333.63,6196.08,6213.89,93949
2026-07-24T00:00:00+00:00,6213.89,6296.62,6193.6,6269.65,22489
2026-07-27T00:00:00+00:00,6269.65,6374.29,6229.6,6235.6,80101
2026-07-30T00:00:00+00:00,6235.6,6425.3,6235.6,6368.34,73307
2026-08-02T00:00:00+00:00,6368.34,6518.95,6368.34,6514.51,33013
2026-08-05T00:00:00+00:00,6514.51,6563.61,6478.53,6520.61,45463
2026-08-08T00:00:00+00:00,6539.67,6561.79,6525.77,6537.83,9846
2026-08-11T00:00:00+00:00,6537.83,6583.64,6528.08,6565.6,31852
2026-08-14T00:00:00+00:00,6565.6,6570.49,6535.48,6550.53,7236
2026-08-17T00:00:00+00:00,6550.53,6574.69,6438.52,6444.57,35841
2026-08-20T00:00:00+00:00,6444.57,6470.35,6407.95,6460.88,21781
2026-08-23T00:00:00+00:00,6460.88,6492.84,6439.43,6477.84,19752
2026-08-26T00:00:00+00:00,6467.89,6500.73,6415.6,6478.17,30112
2026-08-29T00:00:00+00:00,6478.17,6489.28,6398.27,6408.32,8377
2026-09-01T00:00:00+00:00,6408.32,6426.44,6334.93,6343.47,17594
